"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSG00000235427",0,NA,NA,NA,NA,NA,NA
"ENSG00000105810",1.14862933812474,3.50566145360219,2.61465000582696,1.34077656504295,0.179993007121162,1,"Not Significant"
"ENSG00000164500",0,NA,NA,NA,NA,NA,NA
"ENSG00000122778",0.02694195459333,0,6.05401632766536,0,1,1,"Not Significant"
"ENSG00000173452",0,NA,NA,NA,NA,NA,NA
"ENSG00000136235",0.02694195459333,0,6.05401632766536,0,1,1,"Not Significant"
"ENSG00000086300",0.146900667377518,0.151669202121374,6.05364193418654,0.0250542076604923,0.980011725697427,1,"Not Significant"
"ENSG00000004864",0.742737423910363,2.62151136590004,3.24866626640504,0.806950037622977,0.41969526873137,1,"Not Significant"
"ENSG00000106246",0.0932623061232126,0.381684511366711,6.05663758794149,0.0630192092270187,0.949751207972014,1,"Not Significant"
"ENSG00000127364",0,NA,NA,NA,NA,NA,NA
"ENSG00000136280",0.260344056051503,0.960079260625565,5.58755022085618,0.171824721510682,0.863575329609381,1,"Not Significant"
"ENSG00000127377",0,NA,NA,NA,NA,NA,NA
"ENSG00000146757",0.043320502072747,0,6.05354067557976,0,1,1,"Not Significant"
"ENSG00000187260",0,NA,NA,NA,NA,NA,NA
"ENSG00000202406",0,NA,NA,NA,NA,NA,NA
"ENSG00000226851",0,NA,NA,NA,NA,NA,NA
"ENSG00000230999",0,NA,NA,NA,NA,NA,NA
"ENSG00000232922",0,NA,NA,NA,NA,NA,NA
"ENSG00000236232",0,NA,NA,NA,NA,NA,NA
"ENSG00000006652",0.193934901245231,0.854129678551862,6.05365056225263,0.141093323733907,0.887796217780031,1,"Not Significant"
"ENSG00000180019",0,NA,NA,NA,NA,NA,NA
"ENSG00000288634",0,NA,NA,NA,NA,NA,NA
"ENSG00000181016",0,NA,NA,NA,NA,NA,NA
"ENSG00000182965",0.013470977296665,0,6.05450579730282,0,1,1,"Not Significant"
